precinct_id,registered_voters,contest_name,total_votes_cast,Malcolm Kenyatta - Election Day,Malcolm Kenyatta - Absentee,Malcolm Kenyatta - Provisional,Tim DeFoor - Election Day,Tim DeFoor - Absentee,Tim DeFoor - Provisional,Reece Smith - Election Day,Reece Smith - Absentee,Reece Smith - Provisional,Bob Goodrich - Election Day,Bob Goodrich - Absentee,Bob Goodrich - Provisional,Eric K. Anton - Election Day,Eric K. Anton - Absentee,Eric K. Anton - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Swissvale Dist 11,678,Auditor General,550,279,169,3,55,17,0,4,0,0,1,0,0,1,0,0,1,0,0
Tarentum Ward 1 Dist 1,687,Auditor General,460,160,57,0,191,16,2,12,0,1,3,0,0,4,0,0,0,0,0
Tarentum Ward 1 Dist 2,470,Auditor General,378,109,55,2,157,34,0,9,0,0,4,0,0,1,0,0,2,0,0
Tarentum Ward 2,558,Auditor General,367,93,69,0,143,25,4,7,1,0,6,0,0,0,0,0,0,0,0
Tarentum Ward 3 Dist 1,278,Auditor General,186,59,21,1,79,11,1,5,0,0,2,0,0,4,0,0,0,0,0
Tarentum Ward 3 Dist 2,593,Auditor General,409,95,41,2,183,31,2,13,0,0,13,2,1,3,0,0,0,0,0
Thornburg,407,Auditor General,355,137,46,3,123,23,1,9,0,0,1,1,0,1,0,0,0,0,0
Pennsbury Vill,569,Auditor General,478,175,72,2,168,20,2,13,3,0,1,0,0,2,0,1,1,0,0
Trafford,55,Auditor General,40,15,6,0,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Turtle Creek Ward 1 Dist 1,841,Auditor General,630,206,114,8,203,44,1,9,5,0,10,1,1,0,0,0,1,1,0
Turtle Creek Ward 1 Dist 2,415,Auditor General,263,114,39,3,68,20,1,3,0,0,4,0,0,2,0,0,0,0,0
Turtle Creek Ward 2 Dist 1,704,Auditor General,424,194,76,8,94,12,2,8,3,0,4,0,0,1,0,0,0,1,0
Turtle Creek Ward 2 Dist 2,316,Auditor General,197,94,29,10,31,16,1,3,0,0,1,0,0,1,0,1,2,0,0
Turtle Creek Ward 3 Dist 1,553,Auditor General,335,155,42,5,80,28,1,5,1,0,6,0,0,0,2,0,3,0,0
Turtle Creek Ward 3 Dist 2,453,Auditor General,324,96,60,7,106,24,4,7,3,0,2,0,0,1,2,0,0,0,0
Up St Clair Ward 1 Dist 1,501,Auditor General,418,131,74,3,135,47,0,2,4,0,3,3,0,1,0,0,0,0,0
Up St Clair Ward 1 Dist 2,822,Auditor General,697,187,146,2,246,84,1,5,1,0,1,3,0,0,1,0,0,1,0
Up St Clair Ward 1 Dist 3,1194,Auditor General,1022,261,186,6,360,138,6,10,1,0,3,1,0,1,0,0,0,1,0
Up St Clair Ward 1 Dist 4,810,Auditor General,666,195,151,2,195,83,2,5,2,0,5,3,0,2,0,0,0,1,0
Up St Clair Ward 2 Dist 1,988,Auditor General,811,236,168,2,277,93,2,1,5,0,4,0,0,1,0,0,1,0,0
Up St Clair Ward 2 Dist 2,711,Auditor General,588,152,83,4,205,107,1,9,2,0,2,1,0,0,0,0,0,0,0
Up St Clair Ward 2 Dist 3,1082,Auditor General,907,259,174,8,295,112,2,8,3,0,4,1,0,1,0,0,0,0,0
