precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Fox Chapel Dist 3,752,Presidential Electors,632,215,172,4,170,59,1,1,0,0,1,4,0,0,2,0
Fox Chapel Dist 4,1210,Presidential Electors,1000,373,278,7,237,87,2,1,0,1,3,1,0,6,3,0
Fox Chapel Dist 5,963,Presidential Electors,770,218,187,5,226,111,2,0,0,0,5,0,1,4,5,0
Franklin Pk Ward 1 Dist 1,1228,Presidential Electors,1042,250,205,2,419,147,3,4,2,0,1,3,0,4,0,0
Franklin Pk Ward 1 Dist 2,1519,Presidential Electors,1253,285,342,9,406,180,9,4,6,0,3,0,0,5,1,0
Franklin Pk Ward 1 Dist 3,1292,Presidential Electors,1081,301,273,1,338,146,3,2,1,0,3,5,0,3,3,0
Franklin Pk Ward 2 Dist 1,1310,Presidential Electors,1144,303,287,7,371,134,3,16,2,1,9,3,0,6,2,0
Franklin Pk Ward 2 Dist 2,1298,Presidential Electors,1092,219,346,3,333,171,4,2,0,0,4,2,1,3,1,0
Franklin Pk Ward 2 Dist 3,1454,Presidential Electors,1271,386,298,3,381,156,2,4,4,1,4,5,0,15,5,0
Franklin Pk Ward 3 Dist 1,1359,Presidential Electors,1132,275,309,5,350,172,3,1,0,0,2,4,0,1,6,0
Franklin Pk Ward 3 Dist 2,778,Presidential Electors,677,209,152,2,232,61,1,3,2,0,5,2,0,4,3,0
Franklin Pk Ward 3 Dist 3,1294,Presidential Electors,1122,303,276,6,357,148,3,3,4,0,8,1,0,3,3,0
Frazer,826,Presidential Electors,726,116,97,1,445,54,4,4,0,0,1,0,0,1,2,0
Glassport Dist 1,566,Presidential Electors,428,111,72,6,192,38,5,0,1,0,0,1,0,1,0,0
Glassport Dist 2,409,Presidential Electors,232,80,23,8,102,14,3,0,0,0,0,0,0,0,0,0
Glassport Dist 3,561,Presidential Electors,340,113,74,2,124,20,2,2,0,0,1,0,0,1,1,0
Glassport Dist 4,260,Presidential Electors,159,49,20,0,81,8,0,1,0,0,0,0,0,0,0,0
Glassport Dist 5,475,Presidential Electors,356,82,60,5,169,33,3,1,0,0,1,0,0,0,0,0
Glassport Dist 6,438,Presidential Electors,317,90,34,5,144,37,4,1,1,0,0,0,1,0,0,0
Glenfield,148,Presidential Electors,124,43,11,0,58,8,1,1,0,0,1,0,0,1,0,0
Green Tree Dist 1,788,Presidential Electors,700,247,121,2,269,48,4,2,0,0,1,0,0,3,2,0
Green Tree Dist 2,1066,Presidential Electors,931,323,191,5,335,67,1,1,1,0,2,0,0,3,1,0
Green Tree Dist 3,1100,Presidential Electors,884,322,185,3,299,59,1,2,4,0,5,0,0,1,2,0
Green Tree Dist 4,896,Presidential Electors,711,241,147,3,247,59,3,3,1,0,2,1,0,2,1,0
Hampton Dist 1,1218,Presidential Electors,1051,272,222,4,387,147,5,2,0,0,2,0,0,6,0,0
Hampton Dist 2,1302,Presidential Electors,1100,274,228,1,455,121,4,5,1,0,0,1,0,3,3,0
Hampton Dist 3,1370,Presidential Electors,1164,291,294,7,395,151,0,8,2,0,4,3,0,3,1,0
Hampton Dist 4,649,Presidential Electors,550,160,90,3,241,43,6,3,0,0,2,0,0,0,2,0
Hampton Dist 5,707,Presidential Electors,603,190,119,3,202,75,6,1,0,0,1,0,0,2,0,0
Hampton Dist 6,644,Presidential Electors,537,150,109,5,184,77,2,0,2,0,2,3,0,0,0,0
Hampton Dist 7,1444,Presidential Electors,1224,322,267,1,434,172,7,1,2,0,5,2,0,5,2,0
Hampton Dist 8,975,Presidential Electors,834,244,196,8,287,83,1,1,0,0,3,2,0,5,0,0
Hampton Dist 9,1493,Presidential Electors,1330,350,259,3,539,160,2,2,1,0,6,0,0,4,1,0
Hampton Dist 10,1604,Presidential Electors,1337,334,310,6,475,178,4,3,1,0,6,1,0,6,3,0
Hampton Dist 11,1708,Presidential Electors,1497,425,313,7,563,156,5,2,1,0,4,1,0,11,2,0
Hampton Dist 12,898,Presidential Electors,774,248,154,5,278,71,1,3,3,0,4,2,0,2,2,0
Hampton Dist 13,766,Presidential Electors,665,194,152,2,237,73,2,0,1,0,1,0,0,2,0,0
