precinct_id,registered_voters,contest_name,total_votes_cast,Eugene DePasquale - Election Day,Eugene DePasquale - Absentee,Eugene DePasquale - Provisional,Dave Sunday - Election Day,Dave Sunday - Absentee,Dave Sunday - Provisional,Robert Cowburn - Election Day,Robert Cowburn - Absentee,Robert Cowburn - Provisional,Richard L. Weiss - Election Day,Richard L. Weiss - Absentee,Richard L. Weiss - Provisional,Justin L. Magill - Election Day,Justin L. Magill - Absentee,Justin L. Magill - Provisional,Eric L. Settle - Election Day,Eric L. Settle - Absentee,Eric L. Settle - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Mt Lebanon Ward 2 Dist 6,600,Attorney General,519,184,107,0,160,43,0,6,3,0,7,0,0,0,1,0,0,0,0,0,0,0
Mt Lebanon Ward 2 Dist 7,671,Attorney General,568,230,131,1,145,31,2,8,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Mt Lebanon Ward 2 Dist 8,957,Attorney General,791,197,284,6,146,122,3,1,4,1,6,0,0,0,0,0,0,0,0,1,1,0
Mt Lebanon Ward 3 Dist 1,686,Attorney General,572,204,132,2,127,88,1,2,1,0,2,2,0,0,0,1,0,0,0,0,0,0
Mt Lebanon Ward 3 Dist 2,911,Attorney General,782,345,150,3,193,50,4,8,3,0,7,2,1,1,0,0,0,1,0,0,0,0
Mt Lebanon Ward 3 Dist 3,702,Attorney General,598,206,146,3,154,63,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Mt Lebanon Ward 3 Dist 4,719,Attorney General,566,205,135,6,136,49,1,9,0,0,1,1,0,3,1,0,1,1,0,0,0,0
Mt Lebanon Ward 3 Dist 5,745,Attorney General,647,233,141,3,152,70,3,8,1,0,7,1,0,1,0,0,1,0,0,0,1,0
Mt Lebanon Ward 3 Dist 6,471,Attorney General,409,163,105,2,96,21,0,4,2,0,0,2,0,0,0,0,1,0,0,0,0,0
Mt Lebanon Ward 3 Dist 7,886,Attorney General,746,200,211,1,190,115,1,7,0,1,5,0,0,1,2,0,3,0,0,0,0,0
Mt Lebanon Ward 3 Dist 8,322,Attorney General,278,99,56,2,88,23,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Mt Lebanon Ward 4 Dist 1,800,Attorney General,629,251,159,5,140,46,1,10,3,0,4,0,0,1,0,0,1,0,0,0,0,0
Mt Lebanon Ward 4 Dist 2,912,Attorney General,740,313,174,4,182,37,1,11,0,0,2,2,0,0,0,0,2,1,0,1,0,0
Mt Lebanon Ward 4 Dist 3,668,Attorney General,533,221,117,3,121,38,3,2,0,0,3,3,0,2,0,0,0,1,0,0,0,0
Mt Lebanon Ward 4 Dist 4,678,Attorney General,583,214,131,0,152,56,0,7,1,0,2,2,0,0,0,0,0,1,0,0,0,0
Mt Lebanon Ward 4 Dist 5,646,Attorney General,558,238,110,3,153,33,1,3,1,0,0,2,0,0,1,0,0,0,0,2,0,0
Mt Lebanon Ward 4 Dist 6,702,Attorney General,592,256,134,0,140,38,0,4,0,0,3,0,0,1,2,0,0,0,0,0,0,0
Mt Lebanon Ward 4 Dist 7,938,Attorney General,795,261,259,2,147,81,1,5,5,0,6,3,0,3,1,0,2,0,0,1,0,0
Mt Lebanon Ward 5 Dist 1,600,Attorney General,515,169,142,5,132,41,0,5,0,0,0,2,0,4,1,0,1,1,0,1,0,0
Mt Lebanon Ward 5 Dist 2,449,Attorney General,315,111,85,3,69,27,1,2,0,0,2,3,0,1,1,0,0,0,0,0,1,0
Mt Lebanon Ward 5 Dist 3,606,Attorney General,499,190,132,3,102,46,2,4,0,0,3,1,0,4,1,0,1,0,0,0,0,0
Mt Lebanon Ward 5 Dist 4,635,Attorney General,539,215,129,1,133,40,2,4,0,0,6,0,0,0,0,0,2,0,0,0,0,0
Mt Lebanon Ward 5 Dist 5,642,Attorney General,558,220,145,2,111,59,2,4,1,0,5,1,0,0,0,0,0,0,0,0,0,0
Mt Lebanon Ward 5 Dist 6,473,Attorney General,407,170,100,2,89,28,1,1,2,0,1,1,0,2,0,0,0,1,0,0,0,0
Mt Lebanon Ward 5 Dist 7,842,Attorney General,710,272,214,2,138,51,1,7,2,0,3,0,1,1,0,0,1,0,0,0,0,0
Mt Lebanon Ward 5 Dist 8,955,Attorney General,739,295,222,6,137,36,5,7,0,0,5,6,1,3,0,0,1,1,0,1,0,0
Mt Oliver Dist 1,722,Attorney General,371,178,68,18,58,10,7,2,2,0,4,2,1,4,2,0,1,0,0,1,0,2
Mt Oliver Dist 2,782,Attorney General,440,202,83,11,73,25,2,7,1,0,5,2,0,4,1,0,1,0,0,0,0,0
Mt Oliver Dist 3,522,Attorney General,311,178,40,4,60,11,1,1,0,0,6,1,0,1,0,0,2,0,0,0,0,0
Mt Oliver Dist 4,307,Attorney General,197,86,39,5,44,7,0,2,0,1,3,1,0,2,0,0,2,0,0,0,0,0
Munhall Dist 1,472,Attorney General,295,101,68,5,91,15,0,3,1,0,1,2,0,0,0,0,0,0,0,1,0,0
Munhall Dist 2,520,Attorney General,327,147,68,7,49,14,1,8,1,0,5,0,0,0,0,1,3,1,0,0,0,0
Munhall Dist 3,523,Attorney General,324,202,41,8,49,3,1,2,0,0,5,2,0,0,1,0,1,0,0,0,0,0
Munhall Dist 4,414,Attorney General,272,134,52,5,42,20,1,2,0,1,3,1,0,1,0,0,0,0,0,0,0,0
Munhall Dist 5,759,Attorney General,588,242,96,7,165,40,5,7,0,0,4,0,0,2,0,0,2,0,0,0,0,0
Munhall Dist 6,724,Attorney General,595,203,110,3,189,29,3,9,0,0,7,0,0,1,2,0,2,0,0,2,0,0
Munhall Dist 7,1131,Attorney General,894,315,200,5,248,62,3,12,2,0,9,2,0,3,0,0,3,0,0,0,1,0
Munhall Dist 8,669,Attorney General,573,203,85,4,204,40,3,7,0,0,7,2,0,1,0,0,2,0,0,0,0,0
